2MON,Deux Montagnes
SVEY,Stand-de-Veyrier
SVIL,Sous-Villette
SVON,Savonnière
SYCS,Satigny-C. sportif
SYEG,Satigny-Temple
SYGA,Satigny-Gare
SYMA,Satigny-Mairie
SYPO,Satigny-Poste
TACO,Taconnerie
TCAR,Tours-de-Carouge
TCRE,Tour-Carrée
TERR,Terret
TGIN,Tougin-Hôpital
THGA,Thoiry-Gare
THMA,Thoiry-Mairie
THRE,Théâtre
TILL,Les Tilleuls
TLIG,Tours Lignon
TMOU,Terre Mousson
TOCO,Tour-de-Contrôle
TOU0,Tourbillon
TOUR,Tourelle
TOUV,Touvière
TRAN,Tranchées
TRBL,Trèfle-Blanc
TREU,Treulaz
TRIZ,Triaz
TRLL,La Traille
TRMB,Trembley
TRSI,Terrassière
TRTI,Tunnel Routier
TUIL,La Tuilière
TURA,Ch. des Turaines
TVDO,Thônex-Vallard
TVER,Taverney
TXMA,Troinex-Mairie
TXVI,Troinex-Ville
UBER,Lancy-Hubert
UIT0,UIT
UNIM,Uni-Mail
VALY,Bernex-Vailly
VAND,Vandoeuvres
VARV,Val-d'Arve
VATH,Val-Thoiry
VAUD,Vaudagne
VDUR,Duret
VEEC,Vernier-Ecole
VEGY,Veigy-Village
VELO,Vélodrome
VEMA,Vernier-Marché
VERB,Verbant
VERD,Verdun
VERN,Vernes
VESY,Vessy
VEUS,Verseuse
VEVI,Vernier-Village
VGEC,Veigy-Ecole
VGEG,Ville-la-Gd Eglise
VIAM,Via Monnet
VIDO,Vidollet
VILL,Villereuse
VIPA,Neydens-Vitam
VIRY,Viry Chef-Lieu
VIUS,Vieusseux
VLAI,Valais
VLLA,Villars
VLON,Vallon
VLRS,Velours
VOIR,Voirets
VOLL,Vollandes
VORO,Voirons
VRAS,Veyrier-Rasses
VRBE,Varembé
VRDO,Veyrier-Douane
VREC,Veyrier-Ecole
VRLP,Vireloup
VRMT,Vermont
VRNT,Vernets
VROT,Veyrot
VRTC,Vertes Campagnes
VSEG,Vésenaz-Eglise
VSNA,Vésenaz
VSUI,Village-Suisse
VTRN,Veyrier-Tournettes
VTTE,Villette
VUAT,Vuattes
VUIL,Vuillonnex
VVRA,Valavran
VXAR,Versoix-Argand
VXBO,Versoix-Bourg
VXGA,Versoix-Gare
VXLA,Versoix-Lachenal
VXVV,Vieux-Valavran
VYFO,Valleiry Espace FOL
VYGA,Valleiry-Gare
WEBR,Weber
WEND,Wendt
WTC0,WTC
ZIMG,ZIMEYSA-Gare
ZIMO,ZIMOGA
ZIMW,ZIMEYSA-Ouest
ZIPL,ZIPLO
